ID,JMS_TIME,CREATED,UPDATED,BATCH_ID,ENTITY,GROUP,STATUS,STATUS_CODE_DYNAMICS,SOURCE_SYSTEM,LEGAL_ENTITY,EXEC_ID
111027,1.66E+12,8/31/2022 15:47,9/1/2022 0:00,B-9f847880-b7e9-411a-aa29-87ec52ec35c8,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-08-31T23:58:01-3F3C7DE074CF460B95BC1B51512D96D2
111028,1.66E+12,8/31/2022 15:47,9/1/2022 0:02,B-61419cf4-9cb0-4399-9144-d568d2d2c213,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:00:15-F10CD5C9DFED4D6D954A2745CFCFE28B
111029,1.66E+12,8/31/2022 15:47,9/1/2022 0:04,B-16323dc9-4a6c-4611-83e5-40fc59adedd2,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:02:31-1EAB47D6D320432E986BC48D20BEFE60
111030,1.66E+12,8/31/2022 15:47,9/1/2022 0:07,B-7b23f1fa-469e-4c1b-a7b1-fb9c9260fe99,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:05:01-77992B19B76D4045ADEFB34363A525D3
111038,1.66E+12,8/31/2022 15:55,9/1/2022 0:10,B-2abe933d-1a13-424d-8754-7c8c5de06af6,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:07:16-576654ECDBA944D5995C094A369457EF
111040,1.66E+12,8/31/2022 15:56,9/1/2022 0:12,B-75b03b46-8dd4-47e6-83d1-a5304666b76c,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:10:15-F37EBBB6C124406C8A6B892E2EF873BA
111041,1.66E+12,8/31/2022 15:56,9/1/2022 0:14,B-4912d2cc-b433-4449-a939-c0fad23715d9,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:12:45-03F823D3BB004241A6B6315DB3E4AA52
111042,1.66E+12,8/31/2022 15:56,9/1/2022 0:17,B-b92f3810-6b4d-455b-8343-f82910d4c5db,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:15:01-C242860E22F741E18E6585BE87A75FF8
111044,1.66E+12,8/31/2022 15:56,9/1/2022 0:19,B-bdec0cac-03d9-438a-bd43-e46ee184a2ef,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:17:16-48E9BCD5971844D8BC1ECA762E7CF7D0
111045,1.66E+12,8/31/2022 15:56,9/1/2022 0:22,B-c34b07dd-02bc-4d3c-aa8a-84622886fa72,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:20:01-C775E57D8C6F479D9BAADE1DC4241581
111046,1.66E+12,8/31/2022 15:56,9/1/2022 0:25,B-243700c8-caa5-4960-8fff-4f2eebb4e64d,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:23:01-E4570926DC284183BB1CDB421DEE8071
111047,1.66E+12,8/31/2022 15:56,9/1/2022 0:27,B-34861aa0-14f8-4da0-993f-3ffb8f98d64a,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:25:16-562F7F7C520E4D94980CB24805FA06C6
111048,1.66E+12,8/31/2022 15:56,9/1/2022 0:29,B-77fe730b-405a-45aa-8a98-13f8ce5228d3,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:27:46-89D289E06B6443A4B82BF837B60AEA5A
111049,1.66E+12,8/31/2022 15:56,9/1/2022 0:32,B-a5005944-0663-45cd-8b82-7143b645f084,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:30:01-6B0DEADA9CD54E76A7B34DFC34AFFA3F
111050,1.66E+12,8/31/2022 15:56,9/1/2022 0:37,B-af2d6319-da1c-4568-8b5c-8e14f6aa73ad,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:32:15-60D8EB4BDF0D48F4A74EEE337DE8F25B
111051,1.66E+12,8/31/2022 15:56,9/1/2022 0:42,B-e075a549-ed14-4958-8390-694286796c10,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:37:30-1575A2ECE6B74D42A9BD7249A2495DD1
111052,1.66E+12,8/31/2022 15:57,9/1/2022 0:45,B-bb9d8523-bf37-4e7b-b5d0-6d04d6db4174,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:43:01-36D078FB17004DBB8A22181C62B1D9F6
111053,1.66E+12,8/31/2022 15:57,9/1/2022 0:48,B-2dd3d6c8-de48-4196-9035-90b79b0cb5fb,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:45:46-91271C053D6343D19CCD51B77FCF22AB
111054,1.66E+12,8/31/2022 15:57,9/1/2022 0:50,B-72f2eadd-8f6d-4968-8d38-30718eb4f725,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:48:31-915BA6406FD640FE81A6462BA5A542C7
111055,1.66E+12,8/31/2022 15:57,9/1/2022 0:55,B-11d3cbc5-5abe-4ab7-b46f-98838ff7d3f1,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:53:16-0206170C1C77477C9DAACE02F83D6A46
111056,1.66E+12,8/31/2022 15:57,9/1/2022 1:00,B-0fce5456-c428-4599-9849-8cf6ea0775cd,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:58:01-65C4E44AE7134C4E90EB3B965BD4F316
111057,1.66E+12,8/31/2022 15:57,9/1/2022 0:53,B-664ebba1-08d1-4516-85ae-70a3c181d844,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:51:00-F75E52AB67EF4408AA01492416395EA9
111058,1.66E+12,8/31/2022 15:57,9/1/2022 1:02,B-03a02225-2898-478a-9f38-e8948578bf37,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T01:00:16-CBD108CAD1474A9EB751D358EA7ECF05
111059,1.66E+12,8/31/2022 15:57,9/1/2022 0:57,B-fb87dad2-b463-4e8d-8088-25bc9f897aa4,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T00:55:30-C9FD9E458ECD483F8B268603143792B9
111060,1.66E+12,8/31/2022 15:57,9/1/2022 1:05,B-b9ed266a-d5ac-45e9-9bd5-bba36996598c,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T01:03:01-D8563CCB6738408CB90BE152C9435BDD
111061,1.66E+12,8/31/2022 15:57,9/1/2022 1:08,B-1a01f1f5-98e3-4d2b-8594-188a17915682,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T01:05:16-2EFEBA3697204DED8A4FC5AB833D8192
111062,1.66E+12,8/31/2022 15:57,9/1/2022 1:11,B-0ebc418e-b4b4-4b6e-af68-631748a7bc2a,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T01:08:16-DFAEFFBB72E94C909DE4F7739FA88F35
111063,1.66E+12,8/31/2022 15:57,9/1/2022 1:15,B-7c89db29-7df1-4c79-ab51-270981ec77b4,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T01:12:01-D41AF72369474148A7F304940E871981
111064,1.66E+12,8/31/2022 15:57,9/1/2022 1:20,B-ace41359-e1de-4b51-a3ae-2e7e2f2ede94,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T01:18:16-E8351E6F2DB64C7FBA01476355FE525A
111065,1.66E+12,8/31/2022 15:57,9/1/2022 1:18,B-bc94774c-a770-463a-905c-a4f28147fa14,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T01:15:46-1E972ECA21F740148B2703CCA7F2743B
111066,1.66E+12,8/31/2022 15:57,9/1/2022 1:22,B-9eda14c3-3283-45c7-a101-019e82382da4,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T01:20:31-7523CAEE7E9B4203ADE791D5D0A6A8E7
111067,1.66E+12,8/31/2022 15:57,9/1/2022 1:24,B-cd1d5d81-5b39-42c2-be61-d0c4e0e94637,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T01:22:46-FF38695920CC4FE2B72DC23F25EC1B4B
111068,1.66E+12,8/31/2022 15:57,9/1/2022 1:27,B-f7e9e792-faac-4a1f-bd05-ff4d15d75106,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-01T01:25:01-D41EF1532ADB45DAA898A462810B7008
